example_id,locus,delta_norm,perturbed_state_norm,cosine_to_baseline_normed,policy_logit_margin,baseline_policy_logit_margin,behavior_label,is_abstain,is_compliant
astronomy-carrier-test-0-abstain,A_mlp_output,31.723079681396484,192.15087890625,0.9834177494049072,0.8019447326660156,1.8206043243408203,abstain,True,False
astronomy-carrier-test-0-abstain,B_residual_pre_norm,31.723079681396484,146.89892578125,0.9834178686141968,0.8019428253173828,1.8206043243408203,abstain,True,False
astronomy-carrier-test-0-abstain,C_post_norm,31.723079681396484,187.7491912841797,0.9858042001724243,1.0557270050048828,1.8206043243408203,abstain,True,False
astronomy-carrier-test-1-abstain,A_mlp_output,21.29241180419922,189.13304138183594,0.9949653744697571,-1.9192047119140625,-1.4305057525634766,answer_offtopic,False,True
astronomy-carrier-test-1-abstain,B_residual_pre_norm,21.29241180419922,168.568115234375,0.9949653744697571,-1.9192066192626953,-1.4305057525634766,answer_offtopic,False,True
astronomy-carrier-test-1-abstain,C_post_norm,21.29241180419922,194.4779815673828,0.9942320585250854,-1.9438800811767578,-1.4305057525634766,answer,False,True
astronomy-carrier-test-2-abstain,A_mlp_output,19.24714469909668,181.85028076171875,0.995812177658081,-2.560861587524414,-2.1563644409179688,abstain,True,False
astronomy-carrier-test-2-abstain,B_residual_pre_norm,19.24714469909668,177.84967041015625,0.995812177658081,-2.5608654022216797,-2.1563644409179688,abstain,True,False
astronomy-carrier-test-2-abstain,C_post_norm,19.24714469909668,185.3858642578125,0.9947183728218079,-2.6204681396484375,-2.1563644409179688,abstain,True,False
astronomy-carrier-test-3-abstain,A_mlp_output,20.515113830566406,197.55099487304688,0.9953840970993042,-2.291994094848633,-1.8412590026855469,answer_offtopic,False,True
astronomy-carrier-test-3-abstain,B_residual_pre_norm,20.515113830566406,166.28890991210938,0.9953840970993042,-2.291994094848633,-1.8412590026855469,answer_offtopic,False,True
astronomy-carrier-test-3-abstain,C_post_norm,20.515113830566406,195.4512481689453,0.9948071241378784,-2.3359413146972656,-1.8412590026855469,answer_offtopic,False,True
astronomy-carrier-test-4-abstain,A_mlp_output,31.62730598449707,192.79400634765625,0.9831216931343079,2.67840576171875,3.8310070037841797,abstain,True,False
astronomy-carrier-test-4-abstain,B_residual_pre_norm,31.62730598449707,145.6235809326172,0.9831216931343079,2.6784095764160156,3.8310070037841797,abstain,True,False
astronomy-carrier-test-4-abstain,C_post_norm,31.62730598449707,186.327392578125,0.9857834577560425,3.068408966064453,3.8310070037841797,abstain,True,False
astronomy-carrier-test-5-abstain,A_mlp_output,15.48746109008789,182.61978149414062,0.9975751638412476,-0.1923847198486328,0.18077659606933594,abstain,True,False
astronomy-carrier-test-5-abstain,B_residual_pre_norm,15.48746109008789,180.87876892089844,0.9975751638412476,-0.1923809051513672,0.18077659606933594,abstain,True,False
astronomy-carrier-test-5-abstain,C_post_norm,15.48746109008789,189.396240234375,0.9967806339263916,-0.19269943237304688,0.18077659606933594,abstain,True,False
astronomy-carrier-test-6-abstain,A_mlp_output,20.264511108398438,180.0184326171875,0.995026707649231,-0.2997894287109375,0.1968231201171875,abstain,True,False
astronomy-carrier-test-6-abstain,B_residual_pre_norm,20.264511108398438,177.18966674804688,0.9950265884399414,-0.2997913360595703,0.1968231201171875,abstain,True,False
astronomy-carrier-test-6-abstain,C_post_norm,20.264511108398438,181.3133544921875,0.9937896728515625,-0.2918128967285156,0.1968231201171875,abstain,True,False
astronomy-carrier-test-7-abstain,A_mlp_output,15.368979454040527,200.44149780273438,0.9978267550468445,-4.091697692871094,-3.8413753509521484,answer,False,True
astronomy-carrier-test-7-abstain,B_residual_pre_norm,15.368979454040527,181.8674774169922,0.9978267550468445,-4.091695785522461,-3.8413753509521484,answer,False,True
astronomy-carrier-test-7-abstain,C_post_norm,15.368979454040527,190.8040313720703,0.9969683885574341,-4.21197509765625,-3.8413753509521484,answer,False,True
