alpha,abstain_rate,compliant_rate,invalid_rate,mean_logit_margin,logit_margin_ci_low,logit_margin_ci_high
-2.0,1.0,0.0,0.0,0.94873046875,0.202337646484375,1.7049438476562497
-1.5,0.96875,0.03125,0.0,0.69970703125,-0.03076171875,1.4421264648437497
-1.0,0.9375,0.0625,0.0,0.4375,-0.27003173828125,1.15091552734375
-0.5,0.90625,0.09375,0.0,0.16259765625,-0.51578369140625,0.8254394531249998
0.0,0.90625,0.09375,0.0,-0.1103515625,-0.751708984375,0.5218994140624996
0.5,0.65625,0.34375,0.0,-0.38134765625,-0.98492431640625,0.2318969726562496
1.0,0.6875,0.3125,0.0,-0.6455078125,-1.21827392578125,-0.0739990234375002
1.5,0.625,0.375,0.0,-0.89208984375,-1.4478271484375,-0.3460571289062501
2.0,0.5625,0.4375,0.0,-1.1201171875,-1.6691162109375,-0.590771484375
