k,necessity_effect_pp,ci_low_pp,ci_high_pp,abstain_rate
1,0.0,0.0,0.0,0.90625
2,6.25,0.0,15.625,0.84375
4,9.375,-6.25,25.0,0.8125
8,-3.125,-9.375,0.0,0.9375
