scope,layer,mean_abs_projection,mean_projection,is_ablated_here
baseline,0,1.7770915031433105,-1.7770915031433105,False
baseline,1,1.0300967693328857,-1.0300967693328857,False
baseline,2,2.1972908973693848,-2.1972908973693848,False
baseline,3,7.099336624145508,7.099336624145508,False
baseline,4,7.654171466827393,7.654171466827393,False
baseline,5,5.181532382965088,5.181532382965088,False
baseline,6,8.121254920959473,8.121254920959473,False
baseline,7,11.858404159545898,11.858404159545898,False
baseline,8,9.469576835632324,9.469576835632324,False
baseline,9,9.699581146240234,9.699581146240234,False
baseline,10,3.6066954135894775,-3.6066954135894775,False
baseline,11,4.006216526031494,-4.006216526031494,False
baseline,12,1.0063049793243408,-0.2552528381347656,False
baseline,13,7.6560163497924805,-7.6560163497924805,False
baseline,14,10.71854019165039,-10.71854019165039,False
baseline,15,5.02193546295166,-5.02193546295166,False
baseline,16,1.0115015506744385,0.0006407685577869415,False
baseline,17,1.8094896078109741,-1.634399175643921,False
baseline,18,2.5668647289276123,-2.473001003265381,False
baseline,19,4.317867755889893,-4.317867755889893,False
baseline,20,4.573065757751465,4.573065757751465,False
baseline,21,2.87701678276062,-1.8112947940826416,False
baseline,22,10.751592636108398,-10.751592636108398,False
baseline,23,15.047712326049805,-15.047712326049805,False
baseline,24,18.313148498535156,-18.313148498535156,False
baseline,25,24.27094268798828,-24.27094268798828,False
baseline,26,55.61458206176758,-55.61458206176758,False
baseline,27,36.969058990478516,-36.969058990478516,False
remove_L18,0,1.7770915031433105,-1.7770915031433105,False
remove_L18,1,1.0300967693328857,-1.0300967693328857,False
remove_L18,2,2.1972908973693848,-2.1972908973693848,False
remove_L18,3,7.099336624145508,7.099336624145508,False
remove_L18,4,7.654171466827393,7.654171466827393,False
remove_L18,5,5.181532382965088,5.181532382965088,False
remove_L18,6,8.121254920959473,8.121254920959473,False
remove_L18,7,11.858404159545898,11.858404159545898,False
remove_L18,8,9.469576835632324,9.469576835632324,False
remove_L18,9,9.699581146240234,9.699581146240234,False
remove_L18,10,3.6066954135894775,-3.6066954135894775,False
remove_L18,11,4.006216526031494,-4.006216526031494,False
remove_L18,12,1.0063049793243408,-0.2552528381347656,False
remove_L18,13,7.6560163497924805,-7.6560163497924805,False
remove_L18,14,10.71854019165039,-10.71854019165039,False
remove_L18,15,5.02193546295166,-5.02193546295166,False
remove_L18,16,1.0115015506744385,0.0006407685577869415,False
remove_L18,17,1.8094896078109741,-1.634399175643921,False
remove_L18,18,0.0006495863199234009,-0.0002938956022262573,True
remove_L18,19,2.329554557800293,-2.329554557800293,False
remove_L18,20,6.321582794189453,6.321582794189453,False
remove_L18,21,1.9631690979003906,0.2929532527923584,False
remove_L18,22,8.546255111694336,-8.546255111694336,False
remove_L18,23,12.638921737670898,-12.638921737670898,False
remove_L18,24,15.481162071228027,-15.481162071228027,False
remove_L18,25,21.535289764404297,-21.535289764404297,False
remove_L18,26,52.28865051269531,-52.28865051269531,False
remove_L18,27,34.21760177612305,-34.21760177612305,False
remove_L18_23,0,1.7770915031433105,-1.7770915031433105,False
remove_L18_23,1,1.0300967693328857,-1.0300967693328857,False
remove_L18_23,2,2.1972908973693848,-2.1972908973693848,False
remove_L18_23,3,7.099336624145508,7.099336624145508,False
remove_L18_23,4,7.654171466827393,7.654171466827393,False
remove_L18_23,5,5.181532382965088,5.181532382965088,False
remove_L18_23,6,8.121254920959473,8.121254920959473,False
remove_L18_23,7,11.858404159545898,11.858404159545898,False
remove_L18_23,8,9.469576835632324,9.469576835632324,False
remove_L18_23,9,9.699581146240234,9.699581146240234,False
remove_L18_23,10,3.6066954135894775,-3.6066954135894775,False
remove_L18_23,11,4.006216526031494,-4.006216526031494,False
remove_L18_23,12,1.0063049793243408,-0.2552528381347656,False
remove_L18_23,13,7.6560163497924805,-7.6560163497924805,False
remove_L18_23,14,10.71854019165039,-10.71854019165039,False
remove_L18_23,15,5.02193546295166,-5.02193546295166,False
remove_L18_23,16,1.0115015506744385,0.0006407685577869415,False
remove_L18_23,17,1.8094896078109741,-1.634399175643921,False
remove_L18_23,18,0.0006495863199234009,-0.0002938956022262573,True
remove_L18_23,19,0.001125335693359375,-0.0005061924457550049,True
remove_L18_23,20,0.001532919704914093,-0.0004695877432823181,True
remove_L18_23,21,0.0014346465468406677,-4.9270689487457275e-05,True
remove_L18_23,22,0.003615468740463257,-0.00341758131980896,True
remove_L18_23,23,0.0023800134658813477,2.2232532501220703e-05,True
remove_L18_23,24,1.3883576393127441,-0.7414803504943848,False
remove_L18_23,25,6.361629486083984,-6.361629486083984,False
remove_L18_23,26,36.19328308105469,-36.19328308105469,False
remove_L18_23,27,13.501626968383789,-12.621906280517578,False
remove_all_0_27,0,0.0003761565312743187,2.059806138277054e-05,True
remove_all_0_27,1,0.00012438371777534485,4.303734749555588e-05,True
remove_all_0_27,2,0.0003394177183508873,0.00020804349333047867,True
remove_all_0_27,3,0.0016390234231948853,-0.0004163980484008789,True
remove_all_0_27,4,0.0006720423698425293,0.000402696430683136,True
remove_all_0_27,5,0.0003821328282356262,-0.0003281794488430023,True
remove_all_0_27,6,0.0011461861431598663,0.0009129159152507782,True
remove_all_0_27,7,0.0009764730930328369,-0.0005487501621246338,True
remove_all_0_27,8,0.0015848055481910706,-0.0015511438250541687,True
remove_all_0_27,9,0.0010021775960922241,-0.0008463859558105469,True
remove_all_0_27,10,0.0023192130029201508,0.0004932768642902374,True
remove_all_0_27,11,0.0005682148039340973,0.00020035728812217712,True
remove_all_0_27,12,0.0008466225117444992,-0.0003303159028291702,True
remove_all_0_27,13,0.0021642446517944336,-0.0017453581094741821,True
remove_all_0_27,14,0.002965092658996582,-0.0029437243938446045,True
remove_all_0_27,15,0.0013355240225791931,-0.00044318288564682007,True
remove_all_0_27,16,0.0010111089795827866,-0.0004556756466627121,True
remove_all_0_27,17,0.0005870386958122253,-0.0001620277762413025,True
remove_all_0_27,18,0.0004364624619483948,-0.00024081021547317505,True
remove_all_0_27,19,0.0010163336992263794,-0.0005854517221450806,True
remove_all_0_27,20,0.0015574991703033447,-0.0005486756563186646,True
