layer,raw_h_contrast_norm,raw_p_contrast_norm,h_p_cosine,p_separation_dev_effect_size,h_leakage_on_p_direction_dev,h_separation_dev_effect_size,p_leakage_on_h_direction_dev
0,1.246870517730713,1.163487195968628,0.025433488190174103,2.793116807937622,0.1900826394557953,1.8222428560256958,0.03708946332335472
1,2.400899648666382,1.2715896368026733,0.05890538543462753,3.114921808242798,0.5518118739128113,3.4015305042266846,0.06064395233988762
2,3.627000093460083,1.5367249250411987,-0.044535890221595764,2.120849847793579,0.16302360594272614,5.6022491455078125,-0.007862814702093601
3,5.745995044708252,2.6942222118377686,-0.28729119896888733,1.422743558883667,0.16040435433387756,4.9432783126831055,-0.2864780128002167
4,5.688606262207031,2.9211227893829346,-0.15111470222473145,1.8279659748077393,0.2877044975757599,5.240190505981445,-0.16264447569847107
5,5.184749126434326,3.048163890838623,-0.2620047330856323,1.905139684677124,0.2689126431941986,3.3855252265930176,-0.36171630024909973
6,6.807325839996338,2.80359148979187,-0.30512547492980957,1.9251009225845337,-0.08886172622442245,3.582418918609619,-0.2808379828929901
7,8.077415466308594,2.6308658123016357,-0.29120901226997375,2.3667266368865967,-0.5597776770591736,5.132872104644775,-0.21260970830917358
8,11.675737380981445,2.3595645427703857,-0.17713312804698944,2.6321938037872314,-0.4592413306236267,4.712733268737793,-0.09840359538793564
9,13.395479202270508,2.3638741970062256,-0.1107192188501358,2.527059316635132,-0.5701871514320374,4.727961540222168,-0.06297276169061661
10,14.188491821289062,2.1697516441345215,-0.07744023203849792,3.011715888977051,-0.26755085587501526,6.059290885925293,-0.027859751135110855
11,13.649898529052734,3.3799471855163574,-0.05833442136645317,3.6891534328460693,-0.3093450665473938,5.576579570770264,-0.035115115344524384
12,13.81577205657959,3.5838282108306885,-0.031654708087444305,3.237044334411621,-0.4738326966762543,5.489396572113037,-0.021059902384877205
13,14.849603652954102,3.9354498386383057,0.0065254149958491325,3.227966070175171,-0.13011883199214935,5.0793375968933105,0.0008985695312730968
14,14.706536293029785,4.0101776123046875,0.005860752426087856,3.6515979766845703,-0.0952940359711647,5.371172904968262,-0.005171808879822493
15,15.408119201660156,4.476077079772949,0.004109211266040802,3.896980047225952,-0.2524539530277252,5.680846691131592,-0.0030880155973136425
16,15.792315483093262,4.7929182052612305,0.01254685502499342,4.551447868347168,-0.09823285043239594,5.653676986694336,-0.0019365360494703054
17,16.102760314941406,6.217020511627197,0.019316714257001877,6.430479526519775,-0.12723298370838165,5.381325721740723,0.005313229281455278
18,16.66690444946289,6.813572883605957,0.02350790984928608,6.5153584480285645,-0.015958786010742188,5.683174133300781,0.008784135803580284
19,17.788360595703125,8.590239524841309,0.0439513623714447,6.361410140991211,0.2629499137401581,5.3802714347839355,0.021544933319091797
20,17.664281845092773,13.235816955566406,0.026098165661096573,6.069146156311035,0.17409810423851013,5.438455104827881,0.01134590245783329
21,20.92274284362793,16.017351150512695,-0.028916217386722565,5.770687580108643,0.053367335349321365,6.111518859863281,-0.05168081447482109
22,24.414018630981445,18.490795135498047,-0.004033084027469158,6.147505760192871,0.07436782866716385,5.943809986114502,-0.015885895118117332
23,29.968835830688477,20.23063087463379,0.03539516031742096,6.259610652923584,0.11743268370628357,5.6461262702941895,0.056064192205667496
24,36.59977340698242,24.022417068481445,0.037495553493499756,6.147091388702393,0.09048490226268768,5.773968696594238,0.07268213480710983
25,41.75019073486328,26.92400550842285,0.02327219769358635,6.137404441833496,0.08508234471082687,5.946742057800293,0.05726872384548187
26,49.71249008178711,32.23492431640625,0.03832707926630974,5.303322792053223,0.13325195014476776,6.25670862197876,0.08305083215236664
27,56.080833435058594,39.34931564331055,-0.02312810719013214,2.7347309589385986,-0.0198501069098711,4.972569942474365,-0.01697879657149315
